epoch,step,test_mse,test_mse_Temperature,train_mse,val_mse,val_mse_Temperature
9,4799,,,19.012161254882812,,
9,4849,,,23.64209747314453,,
9,4899,,,16.632892608642578,,
9,4949,,,15.982625961303711,,
9,4999,,,20.389747619628906,,
9,5049,,,20.80569076538086,,
9,5099,,,20.429216384887695,,
9,5149,,,18.65272331237793,,
9,5199,,,18.835262298583984,,
9,5249,,,19.987092971801758,,
9,5269,,,,20.458642959594727,20.458642959594727
10,5299,,,20.98822784423828,,
10,5349,,,17.31578826904297,,
10,5399,,,20.530567169189453,,
10,5449,,,21.06787872314453,,
10,5499,,,19.651952743530273,,
10,5549,,,20.740558624267578,,
10,5599,,,20.92342185974121,,
10,5649,,,17.216129302978516,,
10,5699,,,25.88246726989746,,
10,5749,,,20.333955764770508,,
10,5796,,,,21.194637298583984,21.194637298583984
11,5799,,,18.726167678833008,,
11,5849,,,16.17635154724121,,
11,5899,,,19.20926284790039,,
11,5949,,,19.955753326416016,,
11,5999,,,18.935829162597656,,
11,6049,,,23.295059204101562,,
11,6099,,,18.9914493560791,,
11,6149,,,20.28318977355957,,
11,6199,,,19.49239730834961,,
11,6249,,,17.287967681884766,,
11,6299,,,17.71172332763672,,
11,6323,,,,23.29602813720703,23.29602813720703
12,6349,,,19.012157440185547,,
12,6399,,,19.53509521484375,,
12,6449,,,20.758758544921875,,
12,6499,,,20.667434692382812,,
12,6549,,,17.270172119140625,,
12,6599,,,14.448627471923828,,
12,6649,,,16.047828674316406,,
12,6699,,,17.92034149169922,,
12,6749,,,20.940523147583008,,
12,6799,,,18.03363037109375,,
12,6849,,,16.94277572631836,,
12,6850,,,,20.500083923339844,20.500083923339844
13,6899,,,19.106338500976562,,
13,6949,,,20.166576385498047,,
13,6999,,,17.805654525756836,,
13,7049,,,20.026962280273438,,
13,7099,,,21.864456176757812,,
13,7149,,,16.118574142456055,,
13,7199,,,18.180559158325195,,
13,7249,,,21.264793395996094,,
13,7299,,,20.641990661621094,,
13,7349,,,18.173608779907227,,
13,7377,,,,20.03152084350586,20.03152084350586
14,7399,,,15.162737846374512,,
14,7449,,,19.105243682861328,,
14,7499,,,16.71533966064453,,
14,7549,,,19.094938278198242,,
14,7599,,,21.079010009765625,,
14,7649,,,18.982585906982422,,
14,7699,,,17.807849884033203,,
14,7749,,,18.53006362915039,,
14,7799,,,19.235515594482422,,
14,7849,,,16.627601623535156,,
14,7899,,,18.156455993652344,,
14,7904,,,,20.121522903442383,20.121522903442383
15,7949,,,16.452177047729492,,
15,7999,,,16.572994232177734,,
15,8049,,,19.574321746826172,,
15,8099,,,18.658061981201172,,
15,8149,,,15.075702667236328,,
15,8199,,,17.03826141357422,,
15,8249,,,16.659473419189453,,
15,8299,,,18.967449188232422,,
15,8349,,,22.94001007080078,,
15,8399,,,18.3212890625,,
15,8431,,,,20.37899398803711,20.37899398803711
16,8449,,,16.859298706054688,,
16,8499,,,15.740766525268555,,
16,8549,,,18.779924392700195,,
16,8599,,,17.77119255065918,,
16,8649,,,18.611543655395508,,
16,8699,,,18.550609588623047,,
16,8749,,,17.64458465576172,,
16,8799,,,18.74575424194336,,
16,8849,,,20.238445281982422,,
16,8899,,,17.266115188598633,,
16,8949,,,16.56166648864746,,
16,8958,,,,20.612150192260742,20.612150192260742
17,8999,,,18.637039184570312,,
17,9049,,,17.030838012695312,,
17,9099,,,17.335723876953125,,
17,9149,,,18.91472625732422,,
17,9199,,,14.589018821716309,,
17,9249,,,20.111480712890625,,
17,9299,,,15.72730827331543,,
17,9349,,,18.699451446533203,,
17,9399,,,19.08977508544922,,
17,9449,,,16.615131378173828,,
17,9485,,,,19.753368377685547,19.753368377685547
18,9499,,,16.583181381225586,,
18,9549,,,15.316065788269043,,
18,9599,,,18.008895874023438,,
18,9649,,,19.468387603759766,,
18,9699,,,18.123607635498047,,
18,9749,,,17.41398811340332,,
18,9799,,,18.92630958557129,,
18,9849,,,16.836483001708984,,
18,9899,,,16.199209213256836,,
18,9949,,,19.125831604003906,,
18,9999,,,13.35705280303955,,
18,10012,,,,19.951810836791992,19.951810836791992
19,10049,,,16.891950607299805,,
19,10099,,,14.85886287689209,,
19,10149,,,17.80847930908203,,
19,10199,,,18.818450927734375,,
19,10249,,,17.509231567382812,,
19,10299,,,16.346651077270508,,
19,10349,,,20.361507415771484,,
19,10399,,,17.954952239990234,,
19,10449,,,16.47170639038086,,
19,10499,,,19.005184173583984,,
19,10539,,,,21.903223037719727,21.903223037719727
20,10540,20.57209587097168,20.57209587097168,,,
