epoch,step,test_mse,test_mse_Temperature,train_mse,val_mse,val_mse_Temperature
0,49,,,220.92173767089844,,
0,99,,,69.13390350341797,,
0,149,,,49.0869140625,,
0,199,,,39.325927734375,,
0,249,,,46.41810989379883,,
0,299,,,42.23059844970703,,
0,349,,,40.1053352355957,,
0,399,,,47.564918518066406,,
0,449,,,47.195701599121094,,
0,499,,,42.675148010253906,,
0,526,,,,41.204811096191406,41.204811096191406
1,549,,,47.334678649902344,,
1,599,,,43.870697021484375,,
1,649,,,42.521087646484375,,
1,699,,,38.79596710205078,,
1,749,,,36.09105682373047,,
1,799,,,34.135337829589844,,
1,849,,,39.38157653808594,,
1,899,,,32.535831451416016,,
1,949,,,37.84756851196289,,
1,999,,,35.68827819824219,,
1,1049,,,33.90706253051758,,
1,1053,,,,33.55363464355469,33.55363464355469
2,1099,,,29.32248306274414,,
2,1149,,,35.39256286621094,,
2,1199,,,34.55615234375,,
2,1249,,,36.9887809753418,,
2,1299,,,31.52035140991211,,
2,1349,,,30.419620513916016,,
2,1399,,,32.0589599609375,,
2,1449,,,29.250986099243164,,
2,1499,,,28.9612979888916,,
2,1549,,,35.072242736816406,,
2,1580,,,,31.202434539794922,31.202434539794922
3,1599,,,33.085716247558594,,
3,1649,,,36.02159118652344,,
3,1699,,,34.46582794189453,,
3,1749,,,31.70692253112793,,
3,1799,,,25.679759979248047,,
3,1849,,,34.47854995727539,,
3,1899,,,32.23466491699219,,
3,1949,,,31.078067779541016,,
3,1999,,,31.399166107177734,,
3,2049,,,31.962078094482422,,
3,2099,,,32.20390319824219,,
3,2107,,,,29.96178436279297,29.96178436279297
4,2149,,,31.02157974243164,,
4,2199,,,29.613300323486328,,
4,2249,,,29.92005729675293,,
4,2299,,,36.394798278808594,,
4,2349,,,31.9493465423584,,
4,2399,,,28.118680953979492,,
4,2449,,,33.14031219482422,,
4,2499,,,28.08341407775879,,
4,2549,,,29.353727340698242,,
4,2599,,,35.43308639526367,,
4,2634,,,,29.41945457458496,29.41945457458496
5,2649,,,34.66400146484375,,
5,2699,,,32.768699645996094,,
5,2749,,,38.682373046875,,
5,2799,,,30.50224494934082,,
5,2849,,,30.685901641845703,,
5,2899,,,31.07187271118164,,
