epoch,step,test_mae,test_mae_Temperature,train_mae,val_mae,val_mae_Temperature
7,3899,,,3.4544143676757812,,
7,3949,,,3.094616413116455,,
7,3999,,,3.178011417388916,,
7,4049,,,3.563839912414551,,
7,4099,,,3.3809075355529785,,
7,4119,,,,9.17689037322998,9.17689037322998
8,4149,,,2.8745999336242676,,
8,4199,,,3.208073854446411,,
8,4249,,,3.231846809387207,,
8,4299,,,3.1972999572753906,,
8,4349,,,3.1028668880462646,,
8,4399,,,2.9148569107055664,,
8,4449,,,3.1356263160705566,,
8,4499,,,2.834890842437744,,
8,4549,,,3.044558525085449,,
8,4599,,,3.2085323333740234,,
8,4634,,,,7.531120300292969,7.531120300292969
9,4649,,,3.312087297439575,,
9,4699,,,3.216582775115967,,
9,4749,,,3.3401124477386475,,
9,4799,,,3.1756410598754883,,
9,4849,,,3.136042594909668,,
9,4899,,,2.840935707092285,,
9,4949,,,3.1802072525024414,,
9,4999,,,2.876302480697632,,
9,5049,,,2.9813923835754395,,
9,5099,,,3.0107555389404297,,
9,5149,,,3.3469038009643555,,
9,5149,,,,22.71502685546875,22.71502685546875
10,5199,,,2.831815719604492,,
10,5249,,,3.2842109203338623,,
10,5299,,,2.7562525272369385,,
10,5349,,,3.0160090923309326,,
10,5399,,,2.9204633235931396,,
10,5449,,,2.8475136756896973,,
10,5499,,,3.2176311016082764,,
10,5549,,,3.183008909225464,,
10,5599,,,3.0826642513275146,,
10,5649,,,3.1257925033569336,,
10,5664,,,,12.1969575881958,12.1969575881958
11,5699,,,2.8778603076934814,,
11,5749,,,3.0801820755004883,,
11,5799,,,2.988105058670044,,
11,5849,,,3.065553903579712,,
11,5899,,,2.943476438522339,,
11,5949,,,3.0661849975585938,,
11,5999,,,2.8993945121765137,,
11,6049,,,2.8924601078033447,,
11,6099,,,3.0008671283721924,,
11,6149,,,3.0448334217071533,,
11,6179,,,,7.123804569244385,7.123804569244385
12,6199,,,2.7373533248901367,,
12,6249,,,2.7955145835876465,,
12,6299,,,2.8855161666870117,,
12,6349,,,3.3533992767333984,,
12,6399,,,3.3453168869018555,,
12,6449,,,2.8780972957611084,,
12,6499,,,3.014552593231201,,
12,6549,,,2.7309532165527344,,
12,6599,,,2.85896635055542,,
12,6649,,,3.0541226863861084,,
12,6694,,,,5.942859649658203,5.942859649658203
