epoch,step,test_mae,test_mae_Temperature,train_mae,val_mae,val_mae_Temperature
0,49,,,13.010902404785156,,
0,99,,,6.230658531188965,,
0,149,,,5.412107467651367,,
0,199,,,4.946710586547852,,
0,249,,,4.883842468261719,,
0,299,,,4.871964931488037,,
0,349,,,4.90848445892334,,
0,399,,,4.337742805480957,,
0,449,,,5.515986442565918,,
0,499,,,4.9941911697387695,,
0,526,,,,4.889567852020264,4.889567852020264
1,549,,,5.1881256103515625,,
1,599,,,5.155396461486816,,
1,649,,,5.293017864227295,,
1,699,,,5.001901626586914,,
1,749,,,4.739816188812256,,
1,799,,,4.956401824951172,,
1,849,,,4.600130081176758,,
1,899,,,5.178597450256348,,
1,949,,,4.397740840911865,,
1,999,,,4.977566719055176,,
1,1049,,,4.284311771392822,,
1,1053,,,,4.364810943603516,4.364810943603516
2,1099,,,4.890094757080078,,
2,1149,,,4.652994155883789,,
2,1199,,,4.541154861450195,,
2,1249,,,4.342402458190918,,
2,1299,,,4.307610511779785,,
2,1349,,,4.162978649139404,,
2,1399,,,4.688712120056152,,
2,1449,,,4.723982810974121,,
2,1499,,,4.700459957122803,,
2,1549,,,4.239601135253906,,
2,1580,,,,4.223637104034424,4.223637104034424
3,1599,,,4.910717010498047,,
3,1649,,,4.411247253417969,,
3,1699,,,4.24514627456665,,
3,1749,,,4.4902849197387695,,
3,1799,,,4.149535179138184,,
3,1849,,,4.772114276885986,,
3,1899,,,4.5710530281066895,,
3,1949,,,4.271767616271973,,
3,1999,,,4.358816146850586,,
3,2049,,,4.443547248840332,,
3,2099,,,4.02646017074585,,
3,2107,,,,4.214827060699463,4.214827060699463
4,2149,,,4.398220539093018,,
4,2199,,,4.250926971435547,,
4,2249,,,4.155938148498535,,
4,2299,,,4.280196666717529,,
4,2349,,,4.438104629516602,,
4,2399,,,4.418187141418457,,
4,2449,,,4.344654083251953,,
4,2499,,,4.49998664855957,,
4,2549,,,4.433681488037109,,
4,2599,,,4.251120090484619,,
4,2634,,,,4.16387939453125,4.16387939453125
5,2649,,,3.997610569000244,,
5,2699,,,4.053043365478516,,
5,2749,,,4.127636432647705,,
5,2799,,,4.207757472991943,,
5,2849,,,4.3411784172058105,,
5,2899,,,4.1047258377075195,,
5,2949,,,4.027249336242676,,
5,2999,,,3.9490182399749756,,
5,3049,,,4.318233966827393,,
5,3099,,,4.141901016235352,,
5,3149,,,4.129430294036865,,
5,3161,,,,4.122673988342285,4.122673988342285
6,3199,,,3.817070484161377,,
6,3249,,,4.1904191970825195,,
6,3299,,,4.419596195220947,,
6,3349,,,4.149082183837891,,
6,3399,,,3.988713026046753,,
6,3449,,,4.788719654083252,,
6,3499,,,4.198212623596191,,
6,3549,,,4.067061424255371,,
6,3599,,,4.495485305786133,,
6,3649,,,4.4198384284973145,,
6,3688,,,,4.1126813888549805,4.1126813888549805
7,3699,,,4.200562000274658,,
7,3749,,,4.020402431488037,,
7,3799,,,4.1812543869018555,,
7,3849,,,4.1920671463012695,,
7,3899,,,4.220276355743408,,
7,3949,,,4.081214427947998,,
7,3999,,,4.405298233032227,,
7,4049,,,3.7752268314361572,,
7,4099,,,4.471855640411377,,
7,4149,,,4.294699668884277,,
7,4199,,,4.583446502685547,,
7,4215,,,,4.075875282287598,4.075875282287598
8,4249,,,4.25759220123291,,
8,4299,,,4.213778018951416,,
8,4349,,,3.8386118412017822,,
8,4399,,,4.242727756500244,,
8,4449,,,3.910160541534424,,
8,4499,,,4.132676124572754,,
8,4549,,,4.120995998382568,,
8,4599,,,4.270237445831299,,
8,4649,,,4.412941932678223,,
8,4699,,,4.20596981048584,,
8,4742,,,,4.101433277130127,4.101433277130127
9,4749,,,4.265129089355469,,
9,4799,,,3.91831374168396,,
9,4849,,,4.455419063568115,,
9,4899,,,3.8967909812927246,,
9,4949,,,4.061838150024414,,
9,4999,,,4.175860404968262,,
9,5049,,,4.023085594177246,,
9,5099,,,4.248432159423828,,
9,5149,,,3.891324996948242,,
9,5199,,,4.272644996643066,,
9,5249,,,4.122173309326172,,
9,5269,,,,3.9921841621398926,3.9921841621398926
10,5299,,,4.347573280334473,,
10,5349,,,3.747638463973999,,
10,5399,,,4.2290215492248535,,
10,5449,,,4.304216384887695,,
10,5499,,,4.2020158767700195,,
10,5549,,,4.215731143951416,,
10,5599,,,4.254326820373535,,
10,5649,,,3.835463762283325,,
10,5699,,,4.324691295623779,,
10,5749,,,4.00402307510376,,
10,5796,,,,3.9781394004821777,3.9781394004821777
11,5799,,,3.7112810611724854,,
11,5849,,,3.7939095497131348,,
11,5899,,,4.360317230224609,,
11,5949,,,3.9322080612182617,,
11,5999,,,4.07624626159668,,
11,6049,,,4.282121658325195,,
11,6099,,,4.189291477203369,,
11,6149,,,4.155245780944824,,
11,6199,,,4.0003132820129395,,
11,6249,,,3.9811301231384277,,
11,6299,,,4.0360798835754395,,
11,6323,,,,3.97308349609375,3.97308349609375
12,6349,,,3.7723217010498047,,
12,6399,,,4.179728984832764,,
12,6449,,,4.0091753005981445,,
12,6499,,,4.191493511199951,,
12,6549,,,3.981527805328369,,
12,6599,,,4.0261311531066895,,
12,6649,,,3.833122730255127,,
12,6699,,,3.8434581756591797,,
12,6749,,,4.051412582397461,,
12,6799,,,4.099917888641357,,
12,6849,,,3.720088005065918,,
12,6850,,,,3.974681854248047,3.974681854248047
13,6899,,,3.9190943241119385,,
13,6949,,,4.19534158706665,,
13,6999,,,3.932328462600708,,
13,7049,,,3.9276018142700195,,
13,7099,,,4.442937850952148,,
13,7149,,,3.8294260501861572,,
13,7199,,,3.9284143447875977,,
13,7249,,,4.1763715744018555,,
13,7299,,,4.331578731536865,,
13,7349,,,4.065072059631348,,
13,7377,,,,3.9948887825012207,3.9948887825012207
14,7399,,,3.8759140968322754,,
14,7449,,,4.074419975280762,,
14,7499,,,3.5835633277893066,,
14,7549,,,3.9410109519958496,,
14,7599,,,3.972781181335449,,
14,7649,,,4.00448751449585,,
14,7699,,,3.787936210632324,,
14,7749,,,3.920414686203003,,
14,7799,,,3.7024593353271484,,
14,7849,,,3.737020492553711,,
14,7899,,,3.8202342987060547,,
14,7904,,,,3.864455461502075,3.864455461502075
15,7949,,,4.063901424407959,,
15,7999,,,3.8970091342926025,,
15,8049,,,4.047126293182373,,
15,8099,,,3.8707687854766846,,
15,8149,,,3.698910713195801,,
15,8199,,,3.884469985961914,,
15,8249,,,3.7754862308502197,,
15,8299,,,3.9553027153015137,,
15,8349,,,4.171759605407715,,
15,8399,,,3.7337710857391357,,
15,8431,,,,3.848280906677246,3.848280906677246
16,8449,,,3.7288899421691895,,
16,8499,,,3.818068504333496,,
16,8549,,,3.8842568397521973,,
16,8599,,,3.5809574127197266,,
16,8649,,,4.045165538787842,,
16,8699,,,3.942833662033081,,
16,8749,,,3.949002981185913,,
16,8799,,,3.800058364868164,,
16,8849,,,4.09178352355957,,
16,8899,,,3.7276830673217773,,
16,8949,,,3.5823593139648438,,
