epoch,step,test_mse,test_mse_Temperature,train_mse,val_mse,val_mse_Temperature
0,49,,,219.064697265625,,
0,99,,,63.83005905151367,,
0,149,,,47.01673126220703,,
0,199,,,46.03803253173828,,
0,249,,,45.63575744628906,,
0,299,,,40.72535705566406,,
0,349,,,47.2147216796875,,
0,399,,,35.859718322753906,,
0,449,,,41.39317321777344,,
0,499,,,41.72843933105469,,
0,526,,,,41.51876449584961,41.51876449584961
1,549,,,44.67018127441406,,
1,599,,,46.82853698730469,,
1,649,,,36.90229415893555,,
1,699,,,44.913177490234375,,
1,749,,,35.25715637207031,,
1,799,,,38.516136169433594,,
1,849,,,39.96793746948242,,
1,899,,,38.29313659667969,,
1,949,,,32.1666145324707,,
1,999,,,31.672494888305664,,
1,1049,,,31.185815811157227,,
1,1053,,,,34.16001892089844,34.16001892089844
2,1099,,,36.48798751831055,,
2,1149,,,32.44766616821289,,
2,1199,,,35.36536407470703,,
2,1249,,,32.55840301513672,,
2,1299,,,31.46407127380371,,
2,1349,,,29.343891143798828,,
2,1399,,,39.832489013671875,,
2,1449,,,36.060935974121094,,
2,1499,,,31.723201751708984,,
2,1549,,,28.857410430908203,,
2,1580,,,,31.31103515625,31.31103515625
3,1599,,,30.868974685668945,,
3,1649,,,26.1942138671875,,
3,1699,,,29.515151977539062,,
3,1749,,,34.81970977783203,,
3,1799,,,31.045961380004883,,
3,1849,,,30.687387466430664,,
3,1899,,,32.54735565185547,,
3,1949,,,31.74974822998047,,
3,1999,,,29.397491455078125,,
3,2049,,,35.052303314208984,,
3,2099,,,33.74757385253906,,
3,2107,,,,29.991344451904297,29.991344451904297
4,2149,,,28.4100284576416,,
4,2199,,,30.55604362487793,,
4,2249,,,28.590137481689453,,
4,2299,,,29.44533920288086,,
4,2349,,,32.06806945800781,,
4,2399,,,32.9461555480957,,
4,2449,,,30.639923095703125,,
4,2499,,,29.527877807617188,,
4,2549,,,30.26083755493164,,
4,2599,,,32.633949279785156,,
4,2634,,,,29.00762939453125,29.00762939453125
5,2649,,,29.436233520507812,,
5,2699,,,31.63864517211914,,
5,2749,,,29.179500579833984,,
5,2799,,,32.0997200012207,,
5,2849,,,27.245309829711914,,
5,2899,,,26.865150451660156,,
5,2949,,,30.37637710571289,,
5,2999,,,29.086549758911133,,
5,3049,,,31.06716537475586,,
5,3099,,,24.639896392822266,,
5,3149,,,33.51459884643555,,
5,3161,,,,28.411081314086914,28.411081314086914
6,3199,,,31.622875213623047,,
6,3249,,,28.531871795654297,,
6,3299,,,28.789722442626953,,
6,3349,,,31.020971298217773,,
6,3399,,,27.158794403076172,,
6,3449,,,29.659339904785156,,
6,3499,,,25.157424926757812,,
6,3549,,,30.530473709106445,,
6,3599,,,28.30904769897461,,
6,3649,,,27.453182220458984,,
6,3688,,,,27.707740783691406,27.707740783691406
7,3699,,,27.417675018310547,,
7,3749,,,26.0150146484375,,
7,3799,,,29.555267333984375,,
7,3849,,,23.252649307250977,,
7,3899,,,23.673004150390625,,
7,3949,,,30.83893394470215,,
7,3999,,,29.32044792175293,,
7,4049,,,26.486671447753906,,
7,4099,,,28.705326080322266,,
7,4149,,,27.03903579711914,,
7,4199,,,31.16699981689453,,
7,4215,,,,27.999109268188477,27.999109268188477
8,4249,,,30.74709129333496,,
8,4299,,,27.948001861572266,,
8,4349,,,28.350570678710938,,
8,4399,,,24.984832763671875,,
8,4449,,,24.23869514465332,,
8,4499,,,25.773826599121094,,
8,4549,,,21.569477081298828,,
8,4599,,,28.404632568359375,,
8,4649,,,25.50785255432129,,
8,4699,,,27.67724609375,,
8,4742,,,,26.813251495361328,26.813251495361328
9,4749,,,29.0413818359375,,
9,4799,,,24.31507682800293,,
9,4849,,,23.919891357421875,,
9,4899,,,28.882526397705078,,
9,4949,,,24.297725677490234,,
9,4999,,,27.849411010742188,,
9,5049,,,25.102581024169922,,
9,5099,,,31.542604446411133,,
9,5149,,,28.993656158447266,,
9,5199,,,27.087810516357422,,
9,5249,,,26.936464309692383,,
9,5269,,,,25.48529052734375,25.48529052734375
10,5299,,,27.237871170043945,,
10,5349,,,27.107295989990234,,
10,5399,,,28.90994644165039,,
10,5449,,,25.419445037841797,,
10,5499,,,27.61150360107422,,
10,5549,,,26.520740509033203,,
10,5599,,,26.584089279174805,,
10,5649,,,27.416950225830078,,
10,5699,,,27.04208755493164,,
10,5749,,,29.130268096923828,,
10,5796,,,,25.367961883544922,25.367961883544922
11,5799,,,27.255477905273438,,
11,5849,,,25.131603240966797,,
11,5899,,,30.02933120727539,,
11,5949,,,23.996959686279297,,
11,5999,,,27.33171844482422,,
11,6049,,,22.004791259765625,,
11,6099,,,25.571523666381836,,
11,6149,,,24.774333953857422,,
11,6199,,,24.713937759399414,,
11,6249,,,25.57295799255371,,
11,6299,,,25.19497299194336,,
11,6323,,,,24.514741897583008,24.514741897583008
12,6349,,,24.910999298095703,,
12,6399,,,26.330442428588867,,
12,6449,,,29.35066795349121,,
12,6499,,,22.459041595458984,,
12,6549,,,25.101028442382812,,
12,6599,,,20.84395408630371,,
12,6649,,,23.84804916381836,,
12,6699,,,19.80835723876953,,
12,6749,,,18.734447479248047,,
12,6799,,,19.96717071533203,,
12,6849,,,22.617141723632812,,
12,6850,,,,24.06110191345215,24.06110191345215
13,6899,,,23.611738204956055,,
13,6949,,,25.186508178710938,,
13,6999,,,24.07945442199707,,
13,7049,,,29.49770164489746,,
13,7099,,,24.754009246826172,,
13,7149,,,23.65511703491211,,
13,7199,,,24.560733795166016,,
13,7249,,,27.942054748535156,,
13,7299,,,19.641929626464844,,
13,7349,,,22.382341384887695,,
13,7377,,,,23.837627410888672,23.837627410888672
14,7399,,,24.534997940063477,,
14,7449,,,25.726743698120117,,
14,7499,,,23.01454734802246,,
14,7549,,,26.21660804748535,,
14,7599,,,22.475467681884766,,
14,7649,,,22.063838958740234,,
14,7699,,,23.18071174621582,,
14,7749,,,21.806758880615234,,
14,7799,,,21.19375991821289,,
14,7849,,,29.288209915161133,,
14,7899,,,21.604867935180664,,
14,7904,,,,24.87435531616211,24.87435531616211
15,7949,,,21.70501708984375,,
15,7999,,,23.361412048339844,,
15,8049,,,26.94525909423828,,
15,8099,,,24.253387451171875,,
15,8149,,,23.916593551635742,,
15,8199,,,24.25749969482422,,
15,8249,,,20.856782913208008,,
15,8299,,,22.484088897705078,,
15,8349,,,22.605754852294922,,
15,8399,,,24.77337646484375,,
15,8431,,,,23.56585693359375,23.56585693359375
16,8449,,,22.98094940185547,,
16,8499,,,22.49370574951172,,
16,8549,,,18.225650787353516,,
16,8599,,,20.704200744628906,,
16,8649,,,23.312328338623047,,
16,8699,,,21.12896156311035,,
16,8749,,,18.195659637451172,,
16,8799,,,22.189884185791016,,
16,8849,,,21.64289093017578,,
16,8899,,,21.682477951049805,,
16,8949,,,24.664758682250977,,
16,8958,,,,24.014678955078125,24.014678955078125
17,8999,,,25.23926544189453,,
17,9049,,,21.51392364501953,,
17,9099,,,24.796945571899414,,
17,9149,,,23.006851196289062,,
17,9199,,,21.646080017089844,,
17,9249,,,20.574687957763672,,
17,9299,,,20.583568572998047,,
17,9349,,,23.643451690673828,,
17,9399,,,20.883865356445312,,
17,9449,,,22.415790557861328,,
17,9485,,,,23.36126136779785,23.36126136779785
18,9499,,,21.499900817871094,,
18,9549,,,22.713619232177734,,
18,9599,,,21.802993774414062,,
18,9649,,,21.163551330566406,,
18,9699,,,19.67373275756836,,
18,9749,,,21.634546279907227,,
18,9799,,,24.862157821655273,,
18,9849,,,23.884323120117188,,
18,9899,,,23.18768882751465,,
18,9949,,,20.889366149902344,,
18,9999,,,24.154626846313477,,
18,10012,,,,22.33361053466797,22.33361053466797
19,10049,,,23.10132598876953,,
19,10099,,,19.741016387939453,,
19,10149,,,21.157602310180664,,
19,10199,,,20.45538902282715,,
19,10249,,,22.07204246520996,,
19,10299,,,19.598587036132812,,
19,10349,,,21.877483367919922,,
19,10399,,,23.85870933532715,,
19,10449,,,23.336990356445312,,
19,10499,,,24.206674575805664,,
19,10539,,,,23.98505973815918,23.98505973815918
20,10540,22.55257797241211,22.55257797241211,,,
