axis,target,n,spearman,pearson
pca_1,Temperature,1954,0.19877508525201193,0.07557093481320924
pca_1,Elevation,609,-0.04482606321798641,0.044262880692321496
pca_1,Depth_m,1939,-0.7333645135424371,-0.19929720454131783
pca_1,Latitude,1954,-0.03753895892937983,0.059192426022441125
pca_1,Longitude,1954,0.2670578423013315,0.3195795484738945
pca_1,variance_mean,2000,-0.8617918241674718,-0.9622655750687831
pca_1,variance_max,2000,-0.8836951399237848,-0.9542673156182375
pca_1,read_spread_l2,2000,-0.8617918241674718,-0.960557330419846
pca_1,sem_l2_estimate,2000,-0.8617918241674718,-0.9605573304198464
pca_1,spread_to_nn_ratio,2000,0.06673158918289729,0.08442703727525351
pca_1,sem_to_nn_ratio,2000,0.06673158918289729,0.08442703727525352
pca_1,mean_norm,2000,0.8611139526743236,0.9045497369790556
pca_2,Temperature,1954,0.3323963517702906,0.11466954849786577
pca_2,Elevation,609,0.006677805908157798,0.10643652835081777
pca_2,Depth_m,1939,-0.12856342341986887,-0.017490078486814498
pca_2,Latitude,1954,-0.0733370805895164,0.02120831079595516
pca_2,Longitude,1954,0.14829759524080555,0.16349152754771432
pca_2,variance_mean,2000,-0.3532573322117476,-0.14825429712067725
pca_2,variance_max,2000,-0.2186961096740274,-0.06281643619592281
pca_2,read_spread_l2,2000,-0.3532573322117476,-0.1543557104830651
pca_2,sem_l2_estimate,2000,-0.3532573322117476,-0.1543557104830651
pca_2,spread_to_nn_ratio,2000,0.03890810172702543,-0.008387451355659459
pca_2,sem_to_nn_ratio,2000,0.03890810172702543,-0.008387451355659506
pca_2,mean_norm,2000,0.25135863752817833,0.025040793733450722
pcoa_1,Temperature,291,0.23847155712946577,0.1293381113593749
pcoa_1,Elevation,101,-0.07798206602590319,0.09550312816323107
pcoa_1,Depth_m,289,-0.7466392201099694,-0.4183544391927119
pcoa_1,Latitude,291,0.04014940524367456,0.06606729269348649
pcoa_1,Longitude,291,0.2471917505558664,0.3316595446277226
pcoa_1,variance_mean,300,-0.8760177335303726,-0.9471614040675435
pcoa_1,variance_max,300,-0.8644051600573338,-0.9389018217722251
pcoa_1,read_spread_l2,300,-0.8760177335303726,-0.9466360034859274
pcoa_1,sem_l2_estimate,300,-0.8760177335303726,-0.9466360034859267
pcoa_1,spread_to_nn_ratio,300,0.04773297481083122,0.04816296677500577
pcoa_1,sem_to_nn_ratio,300,0.04773297481083122,0.0481629667750058
pcoa_1,mean_norm,300,0.8506036733741487,0.9127131035976427
pcoa_2,Temperature,291,-0.2831784455254017,-0.10704433026608784
pcoa_2,Elevation,101,-0.028448193193196233,-0.1755115799104365
pcoa_2,Depth_m,289,0.7476266729952176,0.41359382545501433
pcoa_2,Latitude,291,-0.010072842215354356,-0.09594242993541892
pcoa_2,Longitude,291,-0.2717757560727056,-0.31671385735942925
pcoa_2,variance_mean,300,0.9016824631384792,0.9669370823942387
pcoa_2,variance_max,300,0.904905610062334,0.9584194768083705
pcoa_2,read_spread_l2,300,0.9016824631384792,0.9652333122743156
pcoa_2,sem_l2_estimate,300,0.9016824631384792,0.965233312274315
pcoa_2,spread_to_nn_ratio,300,-0.03974577495305503,-0.04917006274311471
pcoa_2,sem_to_nn_ratio,300,-0.03974577495305503,-0.04917006274311472
pcoa_2,mean_norm,300,-0.8841947132745919,-0.9264229616780824
umap_1,Temperature,1954,-0.00068775865536713,0.0653352896710821
umap_1,Elevation,609,0.10751430621294343,0.012753953965217094
umap_1,Depth_m,1939,-0.6925857223832041,-0.240996660278939
umap_1,Latitude,1954,0.2439430071772396,0.1391268611616575
umap_1,Longitude,1954,-0.07359881936179599,0.13102771596429552
umap_1,variance_mean,2000,-0.6901704630690576,-0.8529512061061832
umap_1,variance_max,2000,-0.6895034998758749,-0.8628050201438331
umap_1,read_spread_l2,2000,-0.6901704630690576,-0.8479569705085087
umap_1,sem_l2_estimate,2000,-0.6901704630690576,-0.8479569705085086
umap_1,spread_to_nn_ratio,2000,0.08701173375293343,0.09985522021668629
umap_1,sem_to_nn_ratio,2000,0.08701173375293343,0.09985522021668629
umap_1,mean_norm,2000,0.7102933263560516,0.8378346193187405
umap_2,Temperature,1954,-0.3017750826682254,-0.28430688051508746
umap_2,Elevation,609,0.03194904661856252,-0.05206603015146915
umap_2,Depth_m,1939,0.26007469584921283,-0.04570668521970947
umap_2,Latitude,1954,0.2921489798011319,0.25731305099679763
umap_2,Longitude,1954,-0.40391004267388503,-0.44180519410268665
umap_2,variance_mean,2000,0.45996256725809975,0.4619416875090052
umap_2,variance_max,2000,0.47794527098631767,0.4226974141253398
umap_2,read_spread_l2,2000,0.45996256725809975,0.4730676570323948
umap_2,sem_l2_estimate,2000,0.45996256725809975,0.4730676570323952
umap_2,spread_to_nn_ratio,2000,0.005208847302211826,0.005715229649215397
umap_2,sem_to_nn_ratio,2000,0.005208847302211826,0.005715229649215412
umap_2,mean_norm,2000,-0.4338601177904245,-0.39987955741317244
