epoch,step,test_mae,test_mae_Temperature,train_mae,val_mae,val_mae_Temperature
0,49,,,5.519682884216309,,
0,99,,,5.041083335876465,,
0,149,,,5.2156548500061035,,
0,199,,,4.736581802368164,,
0,249,,,4.50990104675293,,
0,299,,,4.386502265930176,,
0,349,,,4.3642683029174805,,
0,399,,,3.7789559364318848,,
0,449,,,4.901913642883301,,
0,499,,,4.252917289733887,,
0,526,,,,4.261624813079834,4.261624813079834
1,549,,,4.353115081787109,,
1,599,,,4.694760322570801,,
1,649,,,4.6981611251831055,,
1,699,,,4.510023593902588,,
1,749,,,4.366334915161133,,
1,799,,,4.4593353271484375,,
1,849,,,4.401589393615723,,
1,899,,,4.614059925079346,,
1,949,,,3.9527485370635986,,
1,999,,,4.7736921310424805,,
1,1049,,,4.152442932128906,,
1,1053,,,,4.1075029373168945,4.1075029373168945
2,1099,,,4.436428546905518,,
2,1149,,,4.41289758682251,,
2,1199,,,4.468747615814209,,
2,1249,,,4.111995697021484,,
2,1299,,,4.0634870529174805,,
2,1349,,,4.063470840454102,,
2,1399,,,4.566610336303711,,
2,1449,,,4.567625045776367,,
2,1499,,,4.418618202209473,,
2,1549,,,3.9711573123931885,,
2,1580,,,,4.014481067657471,4.014481067657471
3,1599,,,4.50316047668457,,
3,1649,,,4.323371887207031,,
3,1699,,,3.9470038414001465,,
3,1749,,,4.356789588928223,,
3,1799,,,4.023251533508301,,
3,1849,,,4.594124794006348,,
3,1899,,,4.415472030639648,,
3,1949,,,4.162620544433594,,
3,1999,,,4.012121677398682,,
3,2049,,,4.246642112731934,,
3,2099,,,3.757859706878662,,
3,2107,,,,3.968369960784912,3.968369960784912
4,2149,,,4.151295185089111,,
4,2199,,,3.8822317123413086,,
4,2249,,,3.8947691917419434,,
4,2299,,,4.208165168762207,,
4,2349,,,4.125508785247803,,
4,2399,,,4.129822731018066,,
4,2449,,,3.98822283744812,,
4,2499,,,4.197381496429443,,
4,2549,,,4.185885906219482,,
4,2599,,,4.086978912353516,,
4,2634,,,,4.22421407699585,4.22421407699585
5,2649,,,3.9681191444396973,,
5,2699,,,3.702650308609009,,
5,2749,,,3.9771435260772705,,
5,2799,,,3.6626076698303223,,
5,2849,,,3.9425435066223145,,
5,2899,,,3.639652967453003,,
5,2949,,,3.6596221923828125,,
5,2999,,,3.6013078689575195,,
5,3049,,,3.8231360912323,,
5,3099,,,4.00320291519165,,
5,3149,,,3.7105369567871094,,
5,3161,,,,3.872223138809204,3.872223138809204
6,3199,,,3.5632941722869873,,
6,3249,,,3.874593734741211,,
6,3299,,,4.053170680999756,,
6,3349,,,3.7482829093933105,,
6,3399,,,3.5587520599365234,,
6,3449,,,4.185120582580566,,
6,3499,,,3.5024356842041016,,
6,3549,,,3.778885841369629,,
6,3599,,,4.094213485717773,,
6,3649,,,3.8745157718658447,,
6,3688,,,,3.7201130390167236,3.7201130390167236
7,3699,,,3.66031813621521,,
7,3749,,,3.5684142112731934,,
7,3799,,,3.776007652282715,,
7,3849,,,3.6527485847473145,,
7,3899,,,3.8449416160583496,,
7,3949,,,3.610518455505371,,
7,3999,,,3.8528151512145996,,
7,4049,,,3.421529769897461,,
7,4099,,,3.9243178367614746,,
7,4149,,,3.811396598815918,,
7,4199,,,3.854637622833252,,
7,4215,,,,3.6722590923309326,3.6722590923309326
8,4249,,,3.7875242233276367,,
8,4299,,,3.5807464122772217,,
8,4349,,,3.426513195037842,,
8,4399,,,3.8017375469207764,,
8,4449,,,3.5317976474761963,,
8,4499,,,3.6259875297546387,,
8,4549,,,3.572150230407715,,
8,4599,,,3.7770516872406006,,
8,4649,,,4.136929035186768,,
8,4699,,,3.7956433296203613,,
8,4742,,,,3.7038424015045166,3.7038424015045166
9,4749,,,3.658080577850342,,
9,4799,,,3.323629856109619,,
9,4849,,,3.9298739433288574,,
9,4899,,,3.3847665786743164,,
9,4949,,,3.509263277053833,,
9,4999,,,3.6934986114501953,,
9,5049,,,3.6350290775299072,,
9,5099,,,3.7269911766052246,,
9,5149,,,3.4268903732299805,,
9,5199,,,3.7413127422332764,,
9,5249,,,3.7043075561523438,,
9,5269,,,,3.6197714805603027,3.6197714805603027
10,5299,,,3.6789073944091797,,
10,5349,,,3.358206033706665,,
10,5399,,,3.642582893371582,,
10,5449,,,3.7927825450897217,,
10,5499,,,3.6494221687316895,,
10,5549,,,3.6607861518859863,,
10,5599,,,3.6814308166503906,,
10,5649,,,3.4668631553649902,,
10,5699,,,3.9909579753875732,,
10,5749,,,3.5794689655303955,,
10,5796,,,,3.689509868621826,3.689509868621826
11,5799,,,3.422692060470581,,
11,5849,,,3.345536708831787,,
11,5899,,,3.6698663234710693,,
11,5949,,,3.4773292541503906,,
11,5999,,,3.525999069213867,,
11,6049,,,3.8501529693603516,,
11,6099,,,3.480222225189209,,
11,6149,,,3.868171215057373,,
11,6199,,,3.482027053833008,,
11,6249,,,3.5442185401916504,,
11,6299,,,3.5384020805358887,,
11,6323,,,,3.7692878246307373,3.7692878246307373
12,6349,,,3.4819979667663574,,
12,6399,,,3.479844331741333,,
12,6449,,,3.819678544998169,,
12,6499,,,3.835089683532715,,
12,6549,,,3.576447010040283,,
12,6599,,,3.5779311656951904,,
12,6649,,,3.4914064407348633,,
12,6699,,,3.502744197845459,,
12,6749,,,3.7064762115478516,,
12,6799,,,3.6728556156158447,,
12,6849,,,3.3770995140075684,,
12,6850,,,,3.547752857208252,3.547752857208252
13,6899,,,3.7853260040283203,,
13,6949,,,3.8168139457702637,,
13,6999,,,3.440931797027588,,
13,7049,,,3.5427322387695312,,
13,7099,,,3.9546120166778564,,
13,7149,,,3.4970595836639404,,
13,7199,,,3.4787490367889404,,
13,7249,,,3.875593662261963,,
13,7299,,,3.9165163040161133,,
13,7349,,,3.5330660343170166,,
13,7377,,,,3.471524953842163,3.471524953842163
14,7399,,,3.2039363384246826,,
