epoch,step,test_mae,test_mae_Temperature,train_mae,val_mae,val_mae_Temperature
0,49,,,13.063533782958984,,
0,99,,,4.426244735717773,,
0,149,,,4.312887191772461,,
0,199,,,3.8581557273864746,,
0,249,,,3.693634271621704,,
0,299,,,3.5211799144744873,,
0,349,,,3.4028267860412598,,
0,399,,,3.6105728149414062,,
0,449,,,3.600675582885742,,
0,499,,,3.242344379425049,,
0,514,,,,11.212124824523926,11.212124824523926
1,549,,,3.4938805103302,,
1,599,,,3.4327597618103027,,
1,649,,,3.4594833850860596,,
1,699,,,3.265580177307129,,
1,749,,,3.292919874191284,,
1,799,,,3.418834924697876,,
1,849,,,3.3160953521728516,,
1,899,,,3.54542875289917,,
1,949,,,3.033968448638916,,
1,999,,,3.1349472999572754,,
1,1029,,,,10.577006340026855,10.577006340026855
2,1049,,,3.194073438644409,,
2,1099,,,3.4685206413269043,,
2,1149,,,2.6464486122131348,,
2,1199,,,2.9805173873901367,,
2,1249,,,3.054232358932495,,
2,1299,,,3.3619227409362793,,
2,1349,,,3.208336353302002,,
2,1399,,,2.7616891860961914,,
2,1449,,,3.208974599838257,,
2,1499,,,2.9149720668792725,,
2,1544,,,,3.692495584487915,3.692495584487915
3,1549,,,3.275508165359497,,
3,1599,,,3.2040319442749023,,
3,1649,,,3.0822153091430664,,
3,1699,,,2.855818271636963,,
3,1749,,,3.1478288173675537,,
3,1799,,,2.776905059814453,,
3,1849,,,3.1404457092285156,,
3,1899,,,2.7951440811157227,,
3,1949,,,2.9692554473876953,,
3,1999,,,3.1079916954040527,,
3,2049,,,2.9861791133880615,,
3,2059,,,,4.364624977111816,4.364624977111816
4,2099,,,3.2555055618286133,,
4,2149,,,3.167214870452881,,
4,2199,,,3.0965561866760254,,
4,2249,,,2.6468935012817383,,
4,2299,,,2.9531025886535645,,
4,2349,,,2.695439338684082,,
4,2399,,,2.8979172706604004,,
4,2449,,,3.0317511558532715,,
4,2499,,,2.8890457153320312,,
4,2549,,,2.615295886993408,,
4,2574,,,,7.074052333831787,7.074052333831787
5,2599,,,2.695305109024048,,
5,2649,,,3.1352500915527344,,
5,2699,,,2.428652286529541,,
5,2749,,,2.912689208984375,,
5,2799,,,2.5940492153167725,,
5,2849,,,2.8273913860321045,,
5,2899,,,2.860356092453003,,
5,2949,,,2.7521262168884277,,
5,2999,,,2.7078661918640137,,
5,3049,,,3.406554698944092,,
5,3089,,,,3.634422540664673,3.634422540664673
6,3099,,,2.4915614128112793,,
6,3149,,,2.880892038345337,,
6,3199,,,2.8234310150146484,,
6,3249,,,2.820798397064209,,
6,3299,,,2.8190693855285645,,
6,3349,,,3.0663323402404785,,
6,3399,,,2.6681950092315674,,
6,3449,,,2.6841273307800293,,
6,3499,,,2.5841503143310547,,
6,3549,,,3.3000664710998535,,
6,3599,,,2.757732391357422,,
6,3604,,,,7.418198108673096,7.418198108673096
7,3649,,,2.796952724456787,,
7,3699,,,2.609126567840576,,
7,3749,,,2.734879732131958,,
7,3799,,,2.8025665283203125,,
7,3849,,,2.7545690536499023,,
7,3899,,,2.923901319503784,,
7,3949,,,2.5773885250091553,,
7,3999,,,2.8297030925750732,,
7,4049,,,2.9606032371520996,,
7,4099,,,3.0993425846099854,,
7,4119,,,,4.753718852996826,4.753718852996826
8,4149,,,2.4445879459381104,,
8,4199,,,2.579730987548828,,
8,4249,,,2.872804641723633,,
8,4299,,,2.812495231628418,,
8,4349,,,2.8199102878570557,,
8,4399,,,2.606557846069336,,
8,4449,,,2.621864080429077,,
8,4499,,,2.3724303245544434,,
8,4549,,,2.6044647693634033,,
8,4599,,,2.720224380493164,,
8,4634,,,,4.555959701538086,4.555959701538086
