epoch,step,test_mae,test_mae_Temperature,train_mae,val_mae,val_mae_Temperature
0,49,,,13.070805549621582,,
0,99,,,4.387207984924316,,
0,149,,,4.481926441192627,,
0,199,,,3.960975170135498,,
0,249,,,3.670250177383423,,
0,299,,,3.6837730407714844,,
0,349,,,3.510911703109741,,
0,399,,,3.794696807861328,,
0,449,,,3.7907919883728027,,
0,499,,,3.379054546356201,,
0,514,,,,16.746234893798828,16.746234893798828
1,549,,,3.6080994606018066,,
1,599,,,3.4737648963928223,,
1,649,,,3.58042573928833,,
1,699,,,3.452603340148926,,
1,749,,,3.428414821624756,,
1,799,,,3.604210138320923,,
1,849,,,3.407608985900879,,
1,899,,,3.7312517166137695,,
1,949,,,3.239874839782715,,
1,999,,,3.17498779296875,,
1,1029,,,,13.765701293945312,13.765701293945312
2,1049,,,3.320338249206543,,
2,1099,,,3.528688907623291,,
2,1149,,,2.8650431632995605,,
2,1199,,,2.915228843688965,,
2,1249,,,3.2023019790649414,,
2,1299,,,3.416698694229126,,
2,1349,,,3.3023762702941895,,
2,1399,,,2.8340518474578857,,
2,1449,,,3.2122201919555664,,
2,1499,,,3.021146535873413,,
2,1544,,,,3.6338908672332764,3.6338908672332764
3,1549,,,3.40388822555542,,
3,1599,,,3.2636256217956543,,
3,1649,,,3.1872291564941406,,
3,1699,,,3.0121819972991943,,
3,1749,,,3.361265182495117,,
3,1799,,,2.9719724655151367,,
3,1849,,,3.079049587249756,,
3,1899,,,2.8987526893615723,,
3,1949,,,3.169804334640503,,
3,1999,,,3.1913812160491943,,
3,2049,,,3.178246021270752,,
3,2059,,,,7.34925651550293,7.34925651550293
4,2099,,,3.350450277328491,,
4,2149,,,3.067680835723877,,
4,2199,,,3.2059812545776367,,
4,2249,,,2.709869861602783,,
4,2299,,,3.0527172088623047,,
4,2349,,,2.806990623474121,,
4,2399,,,3.0843873023986816,,
4,2449,,,3.1100988388061523,,
4,2499,,,2.9742825031280518,,
4,2549,,,2.6812987327575684,,
4,2574,,,,9.289463996887207,9.289463996887207
5,2599,,,2.7753846645355225,,
5,2649,,,3.170722723007202,,
5,2699,,,2.4980297088623047,,
5,2749,,,3.0448455810546875,,
5,2799,,,2.785412073135376,,
5,2849,,,2.990521192550659,,
5,2899,,,2.9343996047973633,,
5,2949,,,3.0959889888763428,,
5,2999,,,2.892123222351074,,
5,3049,,,3.474175453186035,,
5,3089,,,,3.437680959701538,3.437680959701538
6,3099,,,2.66640567779541,,
6,3149,,,2.8888206481933594,,
6,3199,,,2.895256996154785,,
6,3249,,,2.9142208099365234,,
6,3299,,,2.9956281185150146,,
6,3349,,,3.339418411254883,,
6,3399,,,2.6799256801605225,,
6,3449,,,2.7418694496154785,,
6,3499,,,2.651467800140381,,
6,3549,,,2.99538516998291,,
6,3599,,,2.919983148574829,,
6,3604,,,,3.6415655612945557,3.6415655612945557
7,3649,,,2.8941431045532227,,
7,3699,,,2.7958059310913086,,
7,3749,,,2.871992349624634,,
7,3799,,,3.0940723419189453,,
7,3849,,,2.7576849460601807,,
7,3899,,,3.0510783195495605,,
7,3949,,,2.651674747467041,,
7,3999,,,2.7851665019989014,,
7,4049,,,2.9966795444488525,,
7,4099,,,3.099400520324707,,
7,4119,,,,7.802626609802246,7.802626609802246
