epoch,step,test_mse,test_mse_Temperature,train_mse,val_mse,val_mse_Temperature
0,49,,,216.49339294433594,,
0,99,,,64.7161865234375,,
0,149,,,45.69007873535156,,
0,199,,,41.36022186279297,,
0,249,,,39.88228225708008,,
0,299,,,38.84052276611328,,
0,349,,,36.99535369873047,,
0,399,,,31.475021362304688,,
0,449,,,46.07831573486328,,
0,499,,,36.47846221923828,,
0,526,,,,35.53575897216797,35.53575897216797
1,549,,,34.36366653442383,,
1,599,,,39.9734001159668,,
1,649,,,38.784019470214844,,
1,699,,,35.085975646972656,,
1,749,,,30.485828399658203,,
1,799,,,32.767112731933594,,
1,849,,,33.32856750488281,,
1,899,,,36.273338317871094,,
1,949,,,26.67392349243164,,
1,999,,,35.873695373535156,,
1,1049,,,28.948516845703125,,
1,1053,,,,28.655797958374023,28.655797958374023
2,1099,,,32.68641662597656,,
2,1149,,,33.03357696533203,,
2,1199,,,31.359718322753906,,
2,1249,,,28.260427474975586,,
2,1299,,,27.41786003112793,,
2,1349,,,27.9630069732666,,
2,1399,,,33.5160026550293,,
2,1449,,,31.507343292236328,,
2,1499,,,30.534046173095703,,
2,1549,,,25.250625610351562,,
2,1580,,,,27.49984359741211,27.49984359741211
3,1599,,,30.61992073059082,,
3,1649,,,27.76781463623047,,
3,1699,,,25.168701171875,,
3,1749,,,31.077411651611328,,
3,1799,,,26.331418991088867,,
3,1849,,,32.102378845214844,,
3,1899,,,32.19220733642578,,
3,1949,,,26.187679290771484,,
3,1999,,,27.327882766723633,,
3,2049,,,30.263395309448242,,
3,2099,,,22.14485740661621,,
3,2107,,,,26.847461700439453,26.847461700439453
4,2149,,,26.59573745727539,,
4,2199,,,24.87336540222168,,
4,2249,,,26.007312774658203,,
4,2299,,,28.964900970458984,,
4,2349,,,28.132719039916992,,
4,2399,,,28.291385650634766,,
4,2449,,,27.417665481567383,,
4,2499,,,30.22957992553711,,
4,2549,,,27.025983810424805,,
4,2599,,,25.93313980102539,,
4,2634,,,,25.311504364013672,25.311504364013672
5,2649,,,24.246030807495117,,
5,2699,,,20.78384017944336,,
5,2749,,,24.306241989135742,,
5,2799,,,22.20961570739746,,
5,2849,,,24.75969696044922,,
5,2899,,,23.074779510498047,,
5,2949,,,21.415813446044922,,
5,2999,,,23.82485580444336,,
5,3049,,,24.028059005737305,,
5,3099,,,26.644481658935547,,
5,3149,,,23.23305892944336,,
5,3161,,,,24.745765686035156,24.745765686035156
6,3199,,,21.480560302734375,,
6,3249,,,23.58511734008789,,
6,3299,,,27.673507690429688,,
6,3349,,,23.21112823486328,,
6,3399,,,23.190143585205078,,
6,3449,,,27.86125373840332,,
6,3499,,,22.86766815185547,,
6,3549,,,21.037246704101562,,
6,3599,,,26.91814422607422,,
6,3649,,,25.893054962158203,,
6,3688,,,,24.41651153564453,24.41651153564453
7,3699,,,23.20738410949707,,
7,3749,,,21.462074279785156,,
7,3799,,,25.03553009033203,,
7,3849,,,22.607013702392578,,
7,3899,,,24.143566131591797,,
7,3949,,,22.642841339111328,,
7,3999,,,24.577035903930664,,
7,4049,,,18.355239868164062,,
7,4099,,,25.697025299072266,,
7,4149,,,21.941253662109375,,
7,4199,,,25.679950714111328,,
7,4215,,,,23.273195266723633,23.273195266723633
8,4249,,,21.938758850097656,,
8,4299,,,21.432376861572266,,
8,4349,,,19.182430267333984,,
8,4399,,,23.17868423461914,,
8,4449,,,22.390121459960938,,
8,4499,,,23.255704879760742,,
8,4549,,,21.38160514831543,,
8,4599,,,22.908023834228516,,
8,4649,,,24.144023895263672,,
8,4699,,,21.241403579711914,,
8,4742,,,,23.152956008911133,23.152956008911133
9,4749,,,22.10472869873047,,
9,4799,,,20.840709686279297,,
9,4849,,,25.831775665283203,,
9,4899,,,19.34569549560547,,
9,4949,,,19.430665969848633,,
9,4999,,,23.588157653808594,,
9,5049,,,23.165287017822266,,
9,5099,,,23.044662475585938,,
9,5149,,,20.443716049194336,,
9,5199,,,22.282861709594727,,
9,5249,,,24.446311950683594,,
9,5269,,,,22.416032791137695,22.416032791137695
10,5299,,,24.46920394897461,,
10,5349,,,19.576305389404297,,
10,5399,,,23.929527282714844,,
10,5449,,,23.742191314697266,,
10,5499,,,22.43040657043457,,
10,5549,,,22.65826416015625,,
10,5599,,,24.150142669677734,,
10,5649,,,20.349624633789062,,
10,5699,,,25.81134605407715,,
10,5749,,,21.434993743896484,,
10,5796,,,,23.11310577392578,23.11310577392578
