epoch,step,test_mae,test_mae_Temperature,train_mae,val_mae,val_mae_Temperature
8,4349,,,3.795717477798462,,
8,4399,,,4.417537212371826,,
8,4449,,,3.90744948387146,,
8,4499,,,4.226884841918945,,
8,4549,,,4.102468490600586,,
8,4599,,,4.316165924072266,,
8,4649,,,4.489019393920898,,
8,4699,,,4.257308483123779,,
8,4742,,,,4.118131160736084,4.118131160736084
9,4749,,,4.255917072296143,,
9,4799,,,4.036299228668213,,
9,4849,,,4.343099594116211,,
9,4899,,,4.045794486999512,,
9,4949,,,4.065959453582764,,
9,4999,,,4.183718681335449,,
9,5049,,,4.1182169914245605,,
9,5099,,,4.179216384887695,,
9,5149,,,3.915609359741211,,
9,5199,,,4.245393753051758,,
9,5249,,,4.190664291381836,,
9,5269,,,,4.042348384857178,4.042348384857178
10,5299,,,4.501791954040527,,
10,5349,,,3.737783908843994,,
10,5399,,,4.347451210021973,,
10,5449,,,4.341787338256836,,
10,5499,,,4.139062881469727,,
10,5549,,,4.202786445617676,,
10,5599,,,4.431890487670898,,
10,5649,,,3.9181604385375977,,
10,5699,,,4.311408996582031,,
10,5749,,,3.907715082168579,,
10,5796,,,,4.0444016456604,4.0444016456604
11,5799,,,3.787189483642578,,
11,5849,,,3.8788113594055176,,
11,5899,,,4.235342979431152,,
11,5949,,,3.8841304779052734,,
11,5999,,,4.063192367553711,,
11,6049,,,4.364695072174072,,
11,6099,,,4.213998794555664,,
11,6149,,,4.334624767303467,,
11,6199,,,4.088315963745117,,
11,6249,,,3.9302144050598145,,
11,6299,,,4.087346076965332,,
11,6323,,,,4.060253143310547,4.060253143310547
12,6349,,,3.8518521785736084,,
12,6399,,,4.131428241729736,,
12,6449,,,4.09260368347168,,
12,6499,,,4.301118850708008,,
12,6549,,,3.7924342155456543,,
12,6599,,,3.952857494354248,,
12,6649,,,3.8853728771209717,,
12,6699,,,3.8639917373657227,,
12,6749,,,3.9007368087768555,,
12,6799,,,4.090882778167725,,
12,6849,,,3.842238426208496,,
12,6850,,,,4.003556728363037,4.003556728363037
13,6899,,,3.900822401046753,,
13,6949,,,4.144134998321533,,
13,6999,,,4.014163970947266,,
13,7049,,,3.968409299850464,,
13,7099,,,4.459291934967041,,
13,7149,,,3.767763614654541,,
13,7199,,,3.9358103275299072,,
13,7249,,,4.319939136505127,,
13,7299,,,4.213527202606201,,
13,7349,,,4.076632022857666,,
13,7377,,,,3.994781970977783,3.994781970977783
14,7399,,,3.875560760498047,,
14,7449,,,3.9578917026519775,,
14,7499,,,3.7495007514953613,,
14,7549,,,4.072564125061035,,
14,7599,,,4.2497358322143555,,
14,7649,,,4.034589767456055,,
14,7699,,,3.84025239944458,,
14,7749,,,3.9878718852996826,,
14,7799,,,3.810744047164917,,
14,7849,,,3.772566080093384,,
14,7899,,,3.929966449737549,,
14,7904,,,,3.919919013977051,3.919919013977051
15,7949,,,3.996936321258545,,
15,7999,,,3.9305827617645264,,
15,8049,,,4.084539890289307,,
15,8099,,,3.846738338470459,,
15,8149,,,3.709110736846924,,
15,8199,,,3.999000072479248,,
15,8249,,,3.8313112258911133,,
15,8299,,,4.005824089050293,,
15,8349,,,4.201539993286133,,
15,8399,,,3.700322151184082,,
15,8431,,,,3.9211161136627197,3.9211161136627197
16,8449,,,3.6881885528564453,,
16,8499,,,3.696619987487793,,
16,8549,,,3.726682662963867,,
16,8599,,,3.672464609146118,,
16,8649,,,4.024435997009277,,
16,8699,,,3.953794002532959,,
16,8749,,,4.094664096832275,,
16,8799,,,3.8096323013305664,,
16,8849,,,4.1418023109436035,,
16,8899,,,3.8153743743896484,,
16,8949,,,3.5830578804016113,,
16,8958,,,,3.8656015396118164,3.8656015396118164
17,8999,,,3.8182225227355957,,
17,9049,,,3.704521894454956,,
17,9099,,,4.029337406158447,,
17,9149,,,3.642949104309082,,
17,9199,,,3.878081798553467,,
17,9249,,,4.398321151733398,,
17,9299,,,3.709989070892334,,
17,9349,,,3.940082311630249,,
17,9399,,,4.299503326416016,,
17,9449,,,3.907907009124756,,
17,9485,,,,3.831515312194824,3.831515312194824
18,9499,,,3.6913130283355713,,
