epoch,step,test_mae,test_mae_Temperature,train_mae,val_mae,val_mae_Temperature
0,49,,,5.440254211425781,,
0,99,,,4.957053184509277,,
0,149,,,5.148628234863281,,
0,199,,,4.726647853851318,,
0,249,,,4.480081081390381,,
0,299,,,4.378885269165039,,
0,349,,,4.282453536987305,,
0,399,,,3.798308849334717,,
0,449,,,4.881881237030029,,
0,499,,,4.23294734954834,,
0,526,,,,4.288044452667236,4.288044452667236
1,549,,,4.357824325561523,,
1,599,,,4.633939743041992,,
1,649,,,4.643282890319824,,
1,699,,,4.410057544708252,,
1,749,,,4.25013542175293,,
1,799,,,4.419020652770996,,
1,849,,,4.358401298522949,,
1,899,,,4.662310600280762,,
1,949,,,3.971832275390625,,
1,999,,,4.724783897399902,,
1,1049,,,4.077577590942383,,
1,1053,,,,4.101583957672119,4.101583957672119
2,1099,,,4.423809051513672,,
2,1149,,,4.388088703155518,,
2,1199,,,4.346750259399414,,
2,1249,,,4.084963798522949,,
2,1299,,,3.9687960147857666,,
2,1349,,,4.057450771331787,,
2,1399,,,4.5720977783203125,,
2,1449,,,4.4835710525512695,,
2,1499,,,4.315850734710693,,
2,1549,,,3.912980556488037,,
2,1580,,,,4.029382228851318,4.029382228851318
3,1599,,,4.494479179382324,,
3,1649,,,4.223128318786621,,
3,1699,,,3.9370181560516357,,
3,1749,,,4.352899551391602,,
3,1799,,,3.985502004623413,,
3,1849,,,4.53236198425293,,
3,1899,,,4.300154685974121,,
3,1949,,,4.050930023193359,,
3,1999,,,3.9480671882629395,,
3,2049,,,4.112565994262695,,
3,2099,,,3.6501646041870117,,
3,2107,,,,3.9895498752593994,3.9895498752593994
4,2149,,,4.1413068771362305,,
4,2199,,,3.9466991424560547,,
4,2249,,,3.930023431777954,,
4,2299,,,4.150725364685059,,
4,2349,,,4.176453590393066,,
4,2399,,,4.106232643127441,,
4,2449,,,3.9223978519439697,,
4,2499,,,4.175444602966309,,
4,2549,,,4.127159118652344,,
4,2599,,,3.959850311279297,,
4,2634,,,,4.05783224105835,4.05783224105835
5,2649,,,3.806898832321167,,
5,2699,,,3.5673694610595703,,
5,2749,,,3.8728809356689453,,
5,2799,,,3.6030430793762207,,
5,2849,,,3.964202404022217,,
5,2899,,,3.6189560890197754,,
5,2949,,,3.519542694091797,,
5,2999,,,3.5693230628967285,,
5,3049,,,3.740992784500122,,
5,3099,,,3.9664578437805176,,
5,3149,,,3.6402347087860107,,
5,3161,,,,3.8468735218048096,3.8468735218048096
6,3199,,,3.463973045349121,,
6,3249,,,3.7370684146881104,,
6,3299,,,4.04813289642334,,
6,3349,,,3.7072553634643555,,
6,3399,,,3.6251626014709473,,
6,3449,,,4.168932914733887,,
6,3499,,,3.4887967109680176,,
6,3549,,,3.4639928340911865,,
6,3599,,,3.9283604621887207,,
6,3649,,,3.826129674911499,,
6,3688,,,,3.693713665008545,3.693713665008545
7,3699,,,3.6362831592559814,,
7,3749,,,3.5114192962646484,,
7,3799,,,3.775252342224121,,
7,3849,,,3.524353504180908,,
7,3899,,,3.739223003387451,,
7,3949,,,3.6216678619384766,,
7,3999,,,3.7810301780700684,,
7,4049,,,3.2955212593078613,,
7,4099,,,3.7716212272644043,,
7,4149,,,3.6471190452575684,,
7,4199,,,3.7177300453186035,,
7,4215,,,,3.793617010116577,3.793617010116577
8,4249,,,3.7547364234924316,,
8,4299,,,3.4746217727661133,,
8,4349,,,3.2743096351623535,,
8,4399,,,3.721036911010742,,
8,4449,,,3.419624090194702,,
8,4499,,,3.539813280105591,,
8,4549,,,3.5232791900634766,,
8,4599,,,3.7217659950256348,,
