epoch,step,test_mae,test_mae_Temperature,train_mae,val_mae,val_mae_Temperature
0,49,,,13.507688522338867,,
0,99,,,4.764983177185059,,
0,149,,,4.376145362854004,,
0,199,,,3.8866615295410156,,
0,249,,,3.6975765228271484,,
0,299,,,3.6107358932495117,,
0,349,,,3.465513229370117,,
0,399,,,3.620016574859619,,
0,449,,,3.723259449005127,,
0,499,,,3.2927591800689697,,
0,514,,,,12.39645767211914,12.39645767211914
1,549,,,3.4938251972198486,,
1,599,,,3.5841684341430664,,
1,649,,,3.5207605361938477,,
1,699,,,3.272017478942871,,
1,749,,,3.19370698928833,,
1,799,,,3.545105457305908,,
1,849,,,3.5872445106506348,,
1,899,,,3.4655635356903076,,
1,949,,,3.189361095428467,,
1,999,,,3.119269847869873,,
1,1029,,,,12.212240219116211,12.212240219116211
2,1049,,,3.301891326904297,,
2,1099,,,3.4931862354278564,,
2,1149,,,2.7044548988342285,,
2,1199,,,2.8379058837890625,,
2,1249,,,3.1316349506378174,,
2,1299,,,3.401820659637451,,
2,1349,,,3.3387982845306396,,
2,1399,,,2.801950454711914,,
2,1449,,,3.3010730743408203,,
2,1499,,,3.025059461593628,,
2,1544,,,,4.290714263916016,4.290714263916016
3,1549,,,3.3437862396240234,,
3,1599,,,3.054877758026123,,
3,1649,,,3.1986472606658936,,
3,1699,,,2.9272139072418213,,
3,1749,,,3.2322723865509033,,
3,1799,,,3.0028533935546875,,
3,1849,,,3.021610975265503,,
3,1899,,,2.945467233657837,,
3,1949,,,3.0825369358062744,,
3,1999,,,3.0340540409088135,,
3,2049,,,3.0886025428771973,,
3,2059,,,,4.620699405670166,4.620699405670166
4,2099,,,3.244060516357422,,
4,2149,,,3.326355457305908,,
4,2199,,,3.1012840270996094,,
4,2249,,,2.6503937244415283,,
4,2299,,,2.9253029823303223,,
4,2349,,,2.7705488204956055,,
4,2399,,,3.0669853687286377,,
4,2449,,,3.027916193008423,,
4,2499,,,2.8985230922698975,,
4,2549,,,2.6351189613342285,,
4,2574,,,,9.858113288879395,9.858113288879395
5,2599,,,2.705704689025879,,
5,2649,,,3.121171474456787,,
5,2699,,,2.4754772186279297,,
5,2749,,,2.8324790000915527,,
5,2799,,,2.636373996734619,,
5,2849,,,2.77302885055542,,
5,2899,,,2.9749155044555664,,
5,2949,,,2.82535982131958,,
5,2999,,,2.7621688842773438,,
5,3049,,,3.3976922035217285,,
5,3089,,,,12.882781028747559,12.882781028747559
6,3099,,,2.667386531829834,,
6,3149,,,2.939469337463379,,
6,3199,,,3.0336265563964844,,
6,3249,,,2.790722370147705,,
6,3299,,,2.9516730308532715,,
6,3349,,,3.058408260345459,,
6,3399,,,2.843595504760742,,
6,3449,,,2.7725393772125244,,
6,3499,,,2.6488170623779297,,
6,3549,,,3.029961585998535,,
6,3599,,,2.816779136657715,,
6,3604,,,,10.247599601745605,10.247599601745605
7,3649,,,2.8481647968292236,,
7,3699,,,2.7307608127593994,,
7,3749,,,2.903223991394043,,
7,3799,,,3.0156121253967285,,
7,3849,,,2.6516945362091064,,
7,3899,,,2.931828260421753,,
7,3949,,,2.5827407836914062,,
7,3999,,,2.8238604068756104,,
7,4049,,,3.0017406940460205,,
7,4099,,,3.0380754470825195,,
7,4119,,,,23.160802841186523,23.160802841186523
8,4149,,,2.457531213760376,,
8,4199,,,2.575383424758911,,
8,4249,,,2.95693302154541,,
8,4299,,,2.7807204723358154,,
8,4349,,,2.739614963531494,,
8,4399,,,2.679266929626465,,
8,4449,,,2.7012691497802734,,
8,4499,,,2.4630379676818848,,
8,4549,,,2.6396143436431885,,
8,4599,,,2.6447031497955322,,
8,4634,,,,4.124577045440674,4.124577045440674
9,4649,,,2.825782537460327,,
9,4699,,,2.7236289978027344,,
9,4749,,,3.076209306716919,,
9,4799,,,2.6710219383239746,,
9,4849,,,2.7248308658599854,,
9,4899,,,2.5445523262023926,,
9,4949,,,2.6812996864318848,,
9,4999,,,2.3738551139831543,,
9,5049,,,2.592855453491211,,
9,5099,,,2.916998863220215,,
9,5149,,,3.2358803749084473,,
9,5149,,,,7.3936686515808105,7.3936686515808105
10,5199,,,2.5885415077209473,,
10,5249,,,2.7865257263183594,,
10,5299,,,2.4704408645629883,,
10,5349,,,2.5958566665649414,,
10,5399,,,2.4153847694396973,,
10,5449,,,2.359330415725708,,
10,5499,,,2.728588581085205,,
10,5549,,,2.6897144317626953,,
10,5599,,,2.7800240516662598,,
10,5649,,,2.552818536758423,,
10,5664,,,,11.444859504699707,11.444859504699707
11,5699,,,2.451871633529663,,
11,5749,,,2.7478628158569336,,
11,5799,,,2.7691428661346436,,
11,5849,,,2.748368501663208,,
11,5899,,,2.5875816345214844,,
11,5949,,,2.769130229949951,,
11,5999,,,2.730433225631714,,
11,6049,,,2.6511988639831543,,
11,6099,,,2.662868022918701,,
11,6149,,,2.8915586471557617,,
11,6179,,,,16.267539978027344,16.267539978027344
12,6199,,,2.363783597946167,,
12,6249,,,2.4956436157226562,,
12,6299,,,2.4718024730682373,,
12,6349,,,2.7512335777282715,,
12,6399,,,2.7670679092407227,,
12,6449,,,2.434382677078247,,
12,6499,,,2.687903881072998,,
12,6549,,,2.4733827114105225,,
12,6599,,,2.703885555267334,,
12,6649,,,2.8289523124694824,,
12,6694,,,,6.033538341522217,6.033538341522217
13,6699,,,3.0161139965057373,,
13,6749,,,2.5349280834198,,
13,6799,,,2.466461658477783,,
13,6849,,,2.6495726108551025,,
13,6899,,,2.6017560958862305,,
13,6949,,,2.5463826656341553,,
13,6999,,,2.620720863342285,,
13,7049,,,2.4615445137023926,,
13,7099,,,2.6051065921783447,,
13,7149,,,2.3213160037994385,,
13,7199,,,2.7017099857330322,,
13,7209,,,,4.4119367599487305,4.4119367599487305
14,7249,,,2.432408094406128,,
14,7299,,,2.3165884017944336,,
14,7349,,,2.4663500785827637,,
14,7399,,,2.6860032081604004,,
14,7449,,,2.5003976821899414,,
14,7499,,,2.544002056121826,,
14,7549,,,2.674936056137085,,
14,7599,,,2.306917190551758,,
14,7649,,,2.631852865219116,,
14,7699,,,2.6072962284088135,,
14,7724,,,,5.346798896789551,5.346798896789551
15,7749,,,2.6371521949768066,,
15,7799,,,2.5613555908203125,,
15,7849,,,2.82857084274292,,
15,7899,,,2.389176845550537,,
15,7949,,,2.5064640045166016,,
15,7999,,,2.4391846656799316,,
15,8049,,,2.4013442993164062,,
15,8099,,,2.506889820098877,,
15,8149,,,2.620861053466797,,
15,8199,,,2.6712450981140137,,
15,8239,,,,3.1217057704925537,3.1217057704925537
16,8249,,,2.9367799758911133,,
16,8299,,,2.342287063598633,,
16,8349,,,2.718958854675293,,
16,8399,,,2.282752513885498,,
16,8449,,,2.664888381958008,,
16,8499,,,2.3986387252807617,,
16,8549,,,2.30141019821167,,
16,8599,,,2.5860939025878906,,
16,8649,,,2.3072333335876465,,
16,8699,,,2.481656551361084,,
16,8749,,,2.3999533653259277,,
