epoch,step,test_mse,test_mse_Temperature,train_mse,val_mse,val_mse_Temperature
0,49,,,51.508140563964844,,
0,99,,,42.13665771484375,,
0,149,,,46.89820098876953,,
0,199,,,41.42668914794922,,
0,249,,,39.62400817871094,,
0,299,,,45.26937484741211,,
0,349,,,40.10285186767578,,
0,399,,,32.61097717285156,,
0,449,,,34.781185150146484,,
0,499,,,36.66624069213867,,
0,526,,,,30.690101623535156,30.690101623535156
1,549,,,26.33061408996582,,
1,599,,,34.46792984008789,,
1,649,,,29.713497161865234,,
1,699,,,31.941003799438477,,
1,749,,,33.06148910522461,,
1,799,,,33.93660354614258,,
1,849,,,28.33808135986328,,
1,899,,,31.984495162963867,,
1,949,,,24.04656982421875,,
1,999,,,29.980592727661133,,
1,1049,,,30.65349578857422,,
1,1053,,,,28.611797332763672,28.611797332763672
2,1099,,,30.859664916992188,,
2,1149,,,30.393505096435547,,
2,1199,,,27.64959716796875,,
2,1249,,,26.149784088134766,,
2,1299,,,29.92852210998535,,
2,1349,,,29.073007583618164,,
2,1399,,,29.578941345214844,,
2,1449,,,28.09697723388672,,
2,1499,,,27.210670471191406,,
2,1549,,,29.417144775390625,,
2,1580,,,,26.45482063293457,26.45482063293457
3,1599,,,27.20960235595703,,
3,1649,,,28.591705322265625,,
3,1699,,,31.022789001464844,,
3,1749,,,27.84336280822754,,
3,1799,,,28.795595169067383,,
3,1849,,,26.768661499023438,,
3,1899,,,23.91840362548828,,
3,1949,,,27.065359115600586,,
3,1999,,,22.81948471069336,,
3,2049,,,24.398984909057617,,
3,2099,,,20.34856605529785,,
3,2107,,,,24.561336517333984,24.561336517333984
4,2149,,,23.662742614746094,,
4,2199,,,22.20124053955078,,
4,2249,,,23.930278778076172,,
4,2299,,,24.050621032714844,,
4,2349,,,24.040681838989258,,
4,2399,,,24.91878890991211,,
4,2449,,,26.147415161132812,,
4,2499,,,23.015094757080078,,
4,2549,,,22.58647918701172,,
4,2599,,,26.18975257873535,,
4,2634,,,,26.327482223510742,26.327482223510742
5,2649,,,21.915517807006836,,
5,2699,,,25.979839324951172,,
5,2749,,,28.164501190185547,,
5,2799,,,21.73031997680664,,
5,2849,,,19.279541015625,,
5,2899,,,27.45395851135254,,
5,2949,,,20.98520851135254,,
5,2999,,,21.012958526611328,,
5,3049,,,21.63835334777832,,
5,3099,,,26.08948516845703,,
5,3149,,,29.22819709777832,,
5,3161,,,,23.259191513061523,23.259191513061523
6,3199,,,21.439268112182617,,
6,3249,,,20.774921417236328,,
6,3299,,,23.30967903137207,,
6,3349,,,20.96845817565918,,
6,3399,,,22.599422454833984,,
6,3449,,,17.69154930114746,,
6,3499,,,21.659420013427734,,
6,3549,,,23.987682342529297,,
6,3599,,,21.880474090576172,,
6,3649,,,21.45012664794922,,
6,3688,,,,25.481733322143555,25.481733322143555
7,3699,,,20.37646484375,,
7,3749,,,20.220788955688477,,
7,3799,,,24.186981201171875,,
7,3849,,,25.380836486816406,,
7,3899,,,21.42412567138672,,
7,3949,,,21.281038284301758,,
7,3999,,,23.65410614013672,,
7,4049,,,24.242040634155273,,
7,4099,,,19.47386932373047,,
7,4149,,,17.792295455932617,,
7,4199,,,22.634239196777344,,
7,4215,,,,24.226072311401367,24.226072311401367
8,4249,,,24.984928131103516,,
8,4299,,,23.60384750366211,,
8,4349,,,23.44094467163086,,
8,4399,,,23.332731246948242,,
8,4449,,,20.86248207092285,,
8,4499,,,25.11919403076172,,
8,4549,,,23.044727325439453,,
8,4599,,,25.491886138916016,,
8,4649,,,18.838333129882812,,
8,4699,,,24.187545776367188,,
8,4742,,,,22.28643798828125,22.28643798828125
9,4749,,,22.02520751953125,,
9,4799,,,19.52916717529297,,
9,4849,,,19.150585174560547,,
9,4899,,,23.85312271118164,,
9,4949,,,18.080415725708008,,
9,4999,,,13.904081344604492,,
9,5049,,,23.265531539916992,,
9,5099,,,19.66058349609375,,
9,5149,,,21.583833694458008,,
9,5199,,,23.633243560791016,,
9,5249,,,21.81201171875,,
9,5269,,,,24.295156478881836,24.295156478881836
10,5299,,,18.457067489624023,,
10,5349,,,21.82999038696289,,
10,5399,,,25.244749069213867,,
10,5449,,,24.36179542541504,,
10,5499,,,24.965002059936523,,
10,5549,,,22.099777221679688,,
10,5599,,,18.21967315673828,,
10,5649,,,24.365161895751953,,
10,5699,,,20.432235717773438,,
10,5749,,,23.013858795166016,,
10,5796,,,,23.99192237854004,23.99192237854004
11,5799,,,22.071739196777344,,
11,5849,,,20.041034698486328,,
11,5899,,,21.47635269165039,,
11,5949,,,23.070980072021484,,
11,5999,,,21.6230411529541,,
11,6049,,,20.257665634155273,,
11,6099,,,22.264755249023438,,
11,6149,,,20.700172424316406,,
11,6199,,,16.87377166748047,,
11,6249,,,23.094213485717773,,
11,6299,,,22.317108154296875,,
11,6323,,,,22.616912841796875,22.616912841796875
12,6349,,,19.27060317993164,,
12,6399,,,19.97039031982422,,
12,6449,,,19.53169822692871,,
12,6499,,,19.9377498626709,,
12,6549,,,24.111879348754883,,
12,6599,,,19.983491897583008,,
12,6649,,,20.887855529785156,,
12,6699,,,21.336755752563477,,
